task, time, temp, unit
 Preheat,      5, +047,  degC
 Preheat,     10, +047,  degC
 Preheat,     15, +048,  degC
 Preheat,     20, +049,  degC
 Preheat,     25, +051,  degC
 Preheat,     30, +053,  degC
 Preheat,     35, +055,  degC
 Preheat,     40, +058,  degC
 Preheat,     45, +062,  degC
 Preheat,     50, +067,  degC
 Preheat,     55, +071,  degC
 Preheat,     60, +077,  degC
 Preheat,     65, +082,  degC
 Preheat,     70, +088,  degC
 Preheat,     75, +095,  degC
 Preheat,     80, +101,  degC
 Preheat,     85, +108,  degC
 Preheat,     90, +115,  degC
 Preheat,     95, +122,  degC
 Preheat,    100, +128,  degC
 Preheat,    105, +136,  degC
 Preheat,    110, +141,  degC
 Soak,    115, +144,  degC
 Soak,    120, +148,  degC
 Soak,    125, +150,  degC
 Soak,    130, +152,  degC
 Soak,    135, +154,  degC
 Soak,    140, +154,  degC
 Soak,    145, +155,  degC
 Soak,    150, +155,  degC
 Soak,    155, +155,  degC
 Soak,    160, +156,  degC
 Soak,    165, +155,  degC
 Soak,    170, +155,  degC
 Reflow,    175, +154,  degC
 Reflow,    180, +154,  degC
 Reflow,    185, +155,  degC
 Reflow,    190, +157,  degC
 Reflow,    195, +160,  degC
 Reflow,    200, +163,  degC
 Reflow,    205, +166,  degC
 Reflow,    210, +169,  degC
 Reflow,    215, +174,  degC
 Reflow,    220, +177,  degC
 Reflow,    225, +182,  degC
 Reflow,    230, +186,  degC
 Reflow,    235, +191,  degC
 Reflow,    240, +195,  degC
 Reflow,    245, +200,  degC
 Reflow,    250, +204,  degC
 Reflow,    255, +208,  degC
 Reflow,    260, +213,  degC
 Dwell,    265, +215,  degC
 Dwell,    270, +216,  degC
 Dwell,    275, +217,  degC
 Dwell,    280, +217,  degC
 Dwell,    285, +216,  degC
 Dwell,    290, +215,  degC
 Dwell,    295, +214,  degC
 Dwell,    300, +214,  degC
 Dwell,    305, +213,  degC
 OFF,    310, +214,  degC
 OFF,    315, +209,  degC
 OFF,    320, +202,  degC
 OFF,    325, +197,  degC
 OFF,    330, +195,  degC
 OFF,    335, +193,  degC
 OFF,    340, +186,  degC
 OFF,    345, +183,  degC
 OFF,    350, +179,  degC
 OFF,    355, +176,  degC
 OFF,    360, +174,  degC
 OFF,    365, +170,  degC
 OFF,    370, +166,  degC
 OFF,    375, +162,  degC
 OFF,    380, +159,  degC
 OFF,    385, +157,  degC
 OFF,    390, +152,  degC
 OFF,    395, +150,  degC
 OFF,    400, +147,  degC
 OFF,    405, +144,  degC
 OFF,    410, +141,  degC
 OFF,    415, +137,  degC
 OFF,    420, +134,  degC
 OFF,    425, +132,  degC
 OFF,    430, +131,  degC
 OFF,    435, +128,  degC
 OFF,    440, +126,  degC
 OFF,    445, +123,  degC
 OFF,    450, +120,  degC
 OFF,    455, +119,  degC
 OFF,    460, +115,  degC
 OFF,    465, +114,  degC
 OFF,    470, +111,  degC
 OFF,    475, +110,  degC
