task, time, temp, unit
 Preheat,      3, +048,  degC
 Preheat,      8, +049,  degC
 Preheat,     13, +050,  degC
 Preheat,     18, +052,  degC
 Preheat,     23, +054,  degC
 Preheat,     28, +056,  degC
 Preheat,     33, +060,  degC
 Preheat,     38, +064,  degC
 Preheat,     43, +068,  degC
 Preheat,     48, +072,  degC
 Preheat,     53, +078,  degC
 Preheat,     58, +083,  degC
 Preheat,     63, +090,  degC
 Preheat,     68, +095,  degC
 Preheat,     73, +102,  degC
 Preheat,     78, +109,  degC
 Preheat,     83, +116,  degC
 Preheat,     88, +123,  degC
 Preheat,     93, +130,  degC
 Preheat,     98, +137,  degC
 Preheat,    103, +142,  degC
 Preheat,    108, +146,  degC
 Soak,    113, +148,  degC
 Soak,    118, +150,  degC
 Soak,    123, +152,  degC
 Soak,    128, +153,  degC
 Soak,    133, +154,  degC
 Soak,    138, +154,  degC
 Soak,    143, +155,  degC
 Soak,    148, +154,  degC
 Soak,    153, +155,  degC
 Soak,    158, +155,  degC
 Soak,    163, +154,  degC
 Soak,    168, +154,  degC
 Reflow,    173, +152,  degC
 Reflow,    178, +152,  degC
 Reflow,    183, +153,  degC
 Reflow,    188, +155,  degC
 Reflow,    193, +156,  degC
 Reflow,    198, +159,  degC
 Reflow,    203, +162,  degC
 Reflow,    208, +165,  degC
 Reflow,    213, +168,  degC
 Reflow,    218, +172,  degC
 Reflow,    223, +177,  degC
 Reflow,    228, +180,  degC
 Reflow,    233, +185,  degC
 Reflow,    238, +190,  degC
 Reflow,    243, +194,  degC
 Reflow,    248, +198,  degC
 Reflow,    253, +202,  degC
 Reflow,    258, +209,  degC
 Dwell,    263, +212,  degC
 Dwell,    268, +214,  degC
 Dwell,    273, +216,  degC
 Dwell,    278, +217,  degC
 Dwell,    283, +217,  degC
 Dwell,    288, +216,  degC
 Dwell,    293, +216,  degC
 Dwell,    298, +214,  degC
 Dwell,    303, +213,  degC
 OFF,    308, +215,  degC
 OFF,    313, +214,  degC
 OFF,    318, +210,  degC
 OFF,    323, +204,  degC
 OFF,    328, +201,  degC
 OFF,    333, +196,  degC
 OFF,    338, +192,  degC
 OFF,    343, +188,  degC
 OFF,    348, +187,  degC
 OFF,    353, +181,  degC
 OFF,    358, +177,  degC
 OFF,    363, +170,  degC
 OFF,    368, +170,  degC
 OFF,    373, +165,  degC
 OFF,    378, +161,  degC
 OFF,    383, +157,  degC
 OFF,    388, +154,  degC
 OFF,    393, +152,  degC
 OFF,    398, +147,  degC
 OFF,    403, +144,  degC
 OFF,    408, +143,  degC
 OFF,    413, +140,  degC
 OFF,    418, +138,  degC
 OFF,    423, +134,  degC
 OFF,    428, +131,  degC
 OFF,    433, +129,  degC
 OFF,    438, +125,  degC
 OFF,    443, +123,  degC
 OFF,    448, +121,  degC
 OFF,    453, +118,  degC
 OFF,    458, +115,  degC
 OFF,    463, +114,  degC
 OFF,    468, +112,  degC
 OFF,    473, +110,  degC
 OFF,    478, +108,  degC
 OFF,    483, +105,  degC
 OFF,    488, +105,  degC
